best_degree,best_rsme
1,1.295226697470213
3,1.3167854817620195
1,1.2815322924932768
4,1.4797802241403275
3,1.4268588653549326
3,1.3125043774458653
1,1.3319098832017788
1,1.3635324132767885
1,1.312029439987119
2,1.296239098258149
